Intermarc	Nom référentiel
281$c	Contenu d'une ressource cartographique
281$i	Contenu d'une ressource constituée d'image(s) fixe(s)
281$m	Contenu d'une ressource constituée de musique notée
281$t	Contenu d'une ressource constituée de texte
282$b	Type de sous-unités (sans médiation)
282$ei|283$i|288$ei|333$i	Type de fichier électronique
282$f|288$f	Format d'un support électronique ou vidéo
282$g|288$g	Méthode de gravure du sillon
282$h|288$h	Disposition
282$i|288$i	Format d'image animée
282$t|288$t	Technique de réduction du bruit de fond
282$u|288$u	Norme de diffusion
282$v|288$v	Vitesse de lecture
283$f|333$f|856$f	Format de fichier
283$j	Données d'accessibilité ONIX
284$a	Matériau appliqué
284$g|284$h	Matériau primaire ou secondaire
284$j	Technique de fabrication de la monnaie
284$l	Précision sur la technique de fabrication de la monnaie
285$f	Facteur de réduction
285$g	Génération
285$h	Taille des caractères
285$m	Méthode de production
285$p	Polarité
285$t	Type de police de caractères
286$a	Reliure
287$a	Type de conteneur
288$x	Type de matériel d'accompagnement
308$o	Origine du travail universitaire
30A$q	Formule introductive (30Aq)
30Z$q	Formule introductive (30Zq)
310$q	Périmètre d'application de la note biographique et/ou historique
312$a	Domaine d'expression artistique
315$q	Périmètre de la zone 315
320$b	Organisation des collections
320$f	Item - Ajouts
320$t	Item - Type provenance
332$c	Couleur du contenu supplémentaire illustratif
332$n	Nature du contenu supplémentaire
332$r	Nature du contenu supplémentaire illustratif
33E$l	Environnement logiciel
33E$m	Environnement matériel
33F$q	Partie de la monnaie
340$r	Réalisation du spectacle
342$m	Clef
355$p	Type de périodicité
35S$h	Présence d'armoiries
362$q	Type de correspondance
362$r	Alignement - Référentiel
362$t	Alignement - Type de référentiel
384$q	Réalisation de la représentation
39A$q	Domaine agent en relation
39S$e	Indicateur de complétude de la reproduction
39S$q	Type de relation (ressources continues)
39T$q	Formule introductive (39Tq)
430$q	Nature de la variante du titre de la manifestation
450$q	Nature de la variante du titre de l'œuvre
452$q	Nature de la variante du point d'accès ressources continues
609$q	Nature de la vedette (indexation non contrôlée)
628$a	Genre précis son, vidéo, multimédia 
628$b	Genre général son, vidéo, multimédia
629$c	Fonction (typologie audiovisuelle)
629$d	Forme du document audiovisuel
629$e	Condition de fixation de l'enregistrement
629$f	Filiation avec une œuvre préexistante
629$g	Forme de l'œuvre préexistante
629$s	Fonction de l'enregistrement sonore
629$t	Forme de l'œuvre textuelle
62A$b	Genre général du film ou téléfilm
62A$c	Genre précis du film ou téléfilm
62A$d	Genre général de l'émission de télévision
62A$e	Genre précis de l'émission de télévision
62A$f	Genre général de la série télévisée
62A$g	Genre précis de la série télévisée
62A$k	Métrage
62A$l	Catégorie technique de l'œuvre audiovisuelle
62B$b|62I$a	Genre iconographique
62C$f	Fonction de l'œuvre cartographique
62C$g	Genre de l'œuvre cartographique
62C$t	Thématique de l'œuvre cartographique
62G$a	Forme ou genre général de l'œuvre de captation sonore
62G$b	Forme ou genre précis de l'œuvre de captation sonore
62I$c	Fonction de l'œuvre iconographique
62I$d	Couverture chronologique de l'Œuvre iconographique
62I$e	Esthétique de l'image
62J$t	Typologie de l'objet
62L$b	Genre précis de jeu vidéo
62L$c	Genre précis de logiciel
62M$a	Forme AIBM
62M$b	Forme de l'œuvre agrégative RDA-FR Musique
62M$c	Répertoire musical RDA-FR - Niveau 1
62M$d	Répertoire musical RDA-FR - Niveau 2
62M$e	Fonction musicale RDA-FR
62R$h	Genre précis de l'émission radiophonique
62R$i	Genre précis de la série radiophonique
62T$a	Domaine de l'œuvre textuelle
62T$b|62X$c	Fonction de l'œuvre textuelle ou mixte
62T$c|62X$d	Genre littéraire
62T$e	Forme de l'œuvre juridique
62T$f	Forme ou genre de l'œuvre religieuse
62T$g	Contexte religieux
62X$a	Genre général de l'œuvre mixte
62X$b	Domaine de l'œuvre mixte
682$b	Indice Dewey non lié à une entité Dewey
683$b	Nomenclature du budget
683$c	Domaine concerné par les catalogues de vente et les collections
683$n	Nomenclature des activités françaises (NAF)
683$p	Domaine concerné par le produit présenté (promotion/publicité)
689$b	Cadre de classement Livres
689$c|689$h	Cadre de classement Publications en série
689$d	Cadre de classement Imprimés numérisés BnF
689$e	Cadre de classement Musique
689$f	Cadre de classement Cartographie
689$g	Cadre de classement Documents audiovisuels
689$i	Cadre de classement Livres 1970-1984
689$j	Cadre de classement Livres 1985-2001
689$k	Cadre de classement Publications en série 2012-2019
689$l	Cadre de classement Documents audiovisuels jusqu'en 2019
689$q	Produit bibliographique
690$a	Code projet
690$d	Département responsable de la sélection dans le projet
690$f	Projet Québec : typologie
690$g	Projet Québec : cadre de classement
700$4|710$4|804$4	Code Fonction Créateur ou Associé à l'Œuvre
701$4|705$4|711$4|715$a	Code Fonction Interprète
702$4	Code Fonction Collaborateur technico-artistique
703$4|713$4	Code Fonction Créateur de la Manifestation ou Associé à la Manifestation
714$4	Code Fonction associé à l'Item
730$q|740$q|750$q	Relation partielle
800$o|802$o|$O	Source de référence
800$q|802$q	Nature de la source
820$b	PEX ValeurValuation Droit
820$c	PEX ValeurValuation Permission
820$p	PEX ValeurValuation Paramètres
821$l	PEX Qualité epub
821$p	PEX Présence epub
821$s	PEX Signalement epub
821$y	PEX Type epub
822$n	PEX Numérisation directe
822$p	PEX Numérisation partielle
823$c	PEX Consultation adaptatif
823$p	PEX Présence adaptatif
823$s	PEX Signalement adaptatif
824$d	PEX Document né numérique
825$d	PEX Présence table des matières
825$e	PEX Présence texte
825$m	PEX Type table des matières
825$x	PEX Type texte
856$c|39S$m	Conditions d'accès aux données
856$i	Codage ROAD
856$m	Mode d'accès
856$q	Qualificatif (856q)
858$q	Base BnF
858$v	Qualificatif de l'URL
862$f	Auteur de la notice critique
862$l	Catégorie du produit critiqué
862$m	Tranche d'âge - Public destinataire
862$n	Avis critique
862$t	Publication dans laquelle la notice a paru
864$b	Type d'image de couverture
869$q	Nature du dépouillement de la table des matières
869$s	Structuration de la zone 869
901$a	Type de notice d'autorité
901$b	Type de notice bibliographique
901$o|90F$o	Source du numéro
909$p	Pays de la notice
90F$q	Base dans laquelle a eu lieu la fusion
916$d	Nature de la demande
918$b	Caractéristiques du publipostage
91A$q	Type d'information
920$f|92P$f	Famille
923$d|92D$d	Titre propre d'anonyme - Domaine de l'œuvre
930$p	Particularités d'exemplaire sous forme codée
933$c	Établissement de la cote à afficher
934$c	Bibliothèque extérieure
975$q	Nature de la vedette (indexation sujet étrangère)
981$c	Règle de clusterisation
982$a	Type de traitement de la notice (métadonnées fournies par l'éditeur)
982$d	Degré validation - Manifestation
982$e	Degré validation - Toutes entités hors Manifestation et Item
982$m	Modification du type de traitement source
982$n	Traitement par un service spécialisé de la BnF
982$o	Origine précise - Hors Manifestation et Item
982$t	Type de traitement source
982$v	Étape de validation
983$c	Conformité au format Intermarc-NG
987$a	Code du motif de non attribution d'ISSN
990$aa|991$aa|993$aa|999$aa	Format A ou B
99D$a	Degré de validation ADCAT-02 - Format Intermarc A
99D$b	Degré de validation ADCAT-02 - Format Intermarc B
